# packages in environment at /u/nathanj/miniconda3/envs/pytorch_gpu_cu118:
#
# Name                    Version                   Build  Channel
liblapacke                3.9.0            16_linux64_mkl    conda-forge
liblzma                   5.8.1                hb9d3cd8_2    conda-forge
libnghttp2                1.67.0               had1ee68_0    conda-forge
libnpp                    11.8.0.86                     0    nvidia
libnsl                    2.0.1                hb9d3cd8_1    conda-forge
libnvjpeg                 11.9.0.86                     0    nvidia
libpciaccess              0.18                 hb9d3cd8_0    conda-forge
libpng                    1.6.50               h421ea60_1    conda-forge
librttopo                 1.1.0               h96cd706_19    conda-forge
libspatialite             5.1.0               h7250436_15    conda-forge
libsqlite                 3.50.4               h0c1763c_0    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 15.1.0               h8f9b012_5    conda-forge
libstdcxx-ng              15.1.0               h4852527_5    conda-forge
libtasn1                  4.20.0               hb9d3cd8_0    conda-forge
libtiff                   4.7.1                h8261f1e_0    conda-forge
libunistring              0.9.10               h7f98852_0    conda-forge
libuuid                   2.41.2               he9a06e4_0    conda-forge
libva                     2.22.0               h4f16b4b_2    conda-forge
libvpx                    1.13.1               h59595ed_0    conda-forge
libwebp                   1.6.0                h9635ea4_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
libxcb                    1.17.0               h8a09558_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxml2                   2.13.8               h04c0eec_1    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
llvm-openmp               15.0.7               h0cdce71_0    conda-forge
llvmlite                  0.45.1                   pypi_0    pypi
looseversion              1.3.0                    pypi_0    pypi
lz4-c                     1.10.0               h5888daf_1    conda-forge
lzo                       2.10              h280c20c_1002    conda-forge
mapclassify               2.8.1              pyhd8ed1ab_1    conda-forge
markupsafe                3.0.3           py310h3406613_0    conda-forge
matplotlib-base           3.10.6          py310hfde16b3_1    conda-forge
minizip                   4.0.10               h05a5f5f_0    conda-forge
mkl                       2022.1.0           h84fe81f_915    conda-forge
mkl-devel                 2022.1.0           ha770c72_916    conda-forge
mkl-include               2022.1.0           h84fe81f_915    conda-forge
mpc                       1.3.1                h24ddda3_1    conda-forge
mpfr                      4.2.1                h90cbb55_3    conda-forge
mpmath                    1.3.0              pyhd8ed1ab_1    conda-forge
munkres                   1.1.4              pyhd8ed1ab_1    conda-forge
ncurses                   6.5                  h2d0b736_3    conda-forge
nettle                    3.9.1                h7ab15ed_0    conda-forge
networkx                  3.4.2              pyh267e887_2    conda-forge
numba                     0.62.1                   pypi_0    pypi
numpy                     2.2.6           py310hefbff90_0    conda-forge
oauthlib                  3.3.1                    pypi_0    pypi
openh264                  2.3.1                hcb278e6_2    conda-forge
openjpeg                  2.5.4                h55fea9a_0    conda-forge
openssl                   3.5.4                h26f9b46_0    conda-forge
p11-kit                   0.24.1               hc5aa10d_0    conda-forge
packaging                 25.0               pyh29332c3_1    conda-forge
pandas                    2.3.3           py310h0158d43_1    conda-forge
pcre2                     10.46                h1321c63_0    conda-forge
pillow                    11.3.0          py310h6557065_3    conda-forge
pip                       25.2               pyh8b19718_0    conda-forge
proj                      9.6.2                h18fbb6c_2    conda-forge
proto-plus                1.26.1                   pypi_0    pypi
protobuf                  6.32.1                   pypi_0    pypi
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
pyasn1                    0.6.1                    pypi_0    pypi
pyasn1-modules            0.4.2                    pypi_0    pypi
pycparser                 2.22               pyh29332c3_1    conda-forge
pyogrio                   0.11.0          py310h0aed7a2_0    conda-forge
pyparsing                 3.2.5              pyhcf101f3_0    conda-forge
pyproj                    3.7.1           py310h71d0299_1    conda-forge
pysheds                   0.5                      pypi_0    pypi
pysocks                   1.7.1              pyha55dd90_7    conda-forge
python                    3.10.18         hd6af730_0_cpython    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python-tzdata             2025.2             pyhd8ed1ab_0    conda-forge
python_abi                3.10                    8_cp310    conda-forge
pytorch                   2.5.1           py3.10_cuda11.8_cudnn9.1.0_0    pytorch
pytorch-cuda              11.8                 h7e8668a_6    pytorch
pytorch-mutex             1.0                        cuda    pytorch
pytz                      2025.2             pyhd8ed1ab_0    conda-forge
pyyaml                    6.0.3           py310h3406613_0    conda-forge
qhull                     2020.2               h434a139_5    conda-forge
rasterio                  1.4.3           py310hf3df72b_2    conda-forge
readline                  8.2                  h8c095d6_2    conda-forge
requests                  2.32.5             pyhd8ed1ab_0    conda-forge
requests-oauthlib         2.0.0                    pypi_0    pypi
rsa                       4.9.1                    pypi_0    pypi
scikit-image              0.25.2                   pypi_0    pypi
scikit-learn              1.7.2           py310h228f341_0    conda-forge
scipy                     1.15.2          py310h1d65ade_0    conda-forge
setuptools                80.9.0             pyhff2d567_0    conda-forge
shapely                   2.1.2           py310h777b3ac_0    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
snappy                    1.2.2                h03e3b7b_0    conda-forge
snuggs                    1.4.7              pyhd8ed1ab_2    conda-forge
sqlite                    3.50.4               hbc0de68_0    conda-forge
svt-av1                   1.4.1                hcb278e6_0    conda-forge
sympy                     1.14.0           pyh2585a3b_105    conda-forge
tbb                       2021.13.0            hb60516a_3    conda-forge
threadpoolctl             3.6.0              pyhecae5ae_0    conda-forge
tifffile                  2025.5.10                pypi_0    pypi
tk                        8.6.13          noxft_hd72426e_102    conda-forge
torchaudio                2.5.1               py310_cu118    pytorch
torchtriton               3.1.0                     py310    pytorch
torchvision               0.20.1              py310_cu118    pytorch
tqdm                      4.67.1             pyhd8ed1ab_1    conda-forge
typing_extensions         4.15.0             pyhcf101f3_0    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
unicodedata2              16.0.0          py310h7c4b9e2_1    conda-forge
uriparser                 0.9.8                hac33072_0    conda-forge
uritemplate               4.2.0                    pypi_0    pypi
urllib3                   2.5.0              pyhd8ed1ab_0    conda-forge
wayland                   1.24.0               h3e06ad9_0    conda-forge
wayland-protocols         1.45                 hd8ed1ab_0    conda-forge
wheel                     0.45.1             pyhd8ed1ab_1    conda-forge
x264                      1!164.3095           h166bdaf_2    conda-forge
x265                      3.5                  h924138e_3    conda-forge
xerces-c                  3.2.5                h988505b_2    conda-forge
xorg-libx11               1.8.12               h4f16b4b_0    conda-forge
xorg-libxau               1.0.12               hb9d3cd8_0    conda-forge
xorg-libxdmcp             1.1.5                hb9d3cd8_0    conda-forge
xorg-libxext              1.3.6                hb9d3cd8_0    conda-forge
xorg-libxfixes            6.0.2                hb03c661_0    conda-forge
xyzservices               2025.4.0           pyhd8ed1ab_0    conda-forge
yaml                      0.2.5                h280c20c_3    conda-forge
zlib                      1.3.1                hb9d3cd8_2    conda-forge
zstandard                 0.25.0          py310h139afa4_0    conda-forge
zstd                      1.5.7                hb8e6e7a_2    conda-forge
